,Name,Games Played,Points,Age,Birth_Place,Birthdate,Collage,Experience,Height,Position,Team,Weight,BMI
169,Greg Smith,42,80,24.0,us,1991,"California State University, Fresno",3,205.0,PF,DAL,112.5,26.76977989
170,Greg Stiemsma,17,14,30.0,us,1985,University of Wisconsin,3,207.5,C,TOR,117.0,27.17375526
171,Greivis Vasquez,82,775,28.0,ve,1987,University of Maryland,4,195.0,PG,TOR,97.65,25.68047337
172,Harrison Barnes,82,827,23.0,us,1992,University of North Carolina,2,200.0,SF,GSW,94.5,23.625
178,Ian Clark,30,57,24.0,us,1991,Belmont University,1,187.5,SG,UTA,78.75,22.4
180,Iman Shumpert,62,496,25.0,us,1990,Georgia Institute of Technology,3,192.5,SG,NYK,99.0,26.716140999999997
181,Isaiah Canaan,47,432,24.0,us,1991,Murray State University,1,180.0,PG,PHI,90.45,27.91666667
182,Isaiah Thomas,67,1101,26.0,us,1989,University of Washington,3,172.5,PG,BOS,83.25,27.97731569
184,J.J. Barea,77,580,31.0,pr,1984,Northeastern University,8,180.0,PG,DAL,83.25,25.69444444
185,Jabari Brown,19,227,23.0,us,1992,University of Missouri,R,190.0,SG,LAL,96.75,26.80055402
187,Jack Cooley,16,27,24.0,us,1991,University of Notre Dame,R,202.5,PF,UTA,117.0,28.53223594
188,Jae Crowder,82,628,25.0,us,1990,Marquette University,2,195.0,SF,DAL,105.75,27.81065089
190,Jamaal Franklin,3,3,24.0,us,1991,San Diego State University,1,192.5,SG,DEN,85.95,23.19446787
191,Jamal Crawford,64,1010,35.0,us,1980,University of Michigan,14,192.5,SG,LAC,90.0,24.28740091
192,Jameer Nelson,63,523,33.0,us,1982,Saint Joseph's University,10,180.0,PG,DAL,85.5,26.38888889
193,James Ennis III,62,312,25.0,us,1990,"California State University, Long Beach",R,197.5,SF,MIA,94.5,24.22688672
194,James Harden,81,2217,26.0,us,1989,Arizona State University,5,192.5,SG,HOU,99.0,26.716140999999997
195,James Johnson,70,554,28.0,us,1987,Wake Forest University,5,202.5,PF,TOR,112.5,27.43484225
196,James Jones,57,250,35.0,us,1980,University of Miami,11,200.0,SF,CLE,98.1,24.525
